101
0 36 10 84 7 70 54 69 29 76 30 89 11 93 14 77 6 55 98 49 2 38 51 36 31 14 45 98 70 55 1 96 23 9 94 50 1 67 49 96 13 40 22 34 17 53 7 8 61 20 2 3 74 1 2 77 34 33 62 7 84 39 27 90 65 84 23 56 3 31 99 75 57 26 84 12 38 29 96 4 38 19 35 50 100 17 4 75 19 80 60 88 30 74 97 86 7 29 74 18 13 
36 0 30 74 49 69 65 41 45 90 69 25 48 6 44 4 77 51 84 34 28 2 100 58 30 70 62 30 13 27 1 44 23 72 33 91 33 39 52 12 6 69 74 41 35 10 35 53 86 53 59 79 49 1 56 44 76 92 44 4 22 26 67 4 74 28 21 53 9 41 85 81 39 21 91 60 23 72 34 93 11 53 91 50 32 27 32 81 44 32 12 97 48 77 19 27 15 83 17 49 2 
10 30 0 55 24 10 19 87 14 28 39 2 43 33 24 47 86 80 25 11 100 98 97 35 91 96 35 29 85 35 90 91 26 35 42 77 64 43 24 91 61 53 73 24 77 51 85 27 61 66 69 73 21 22 96 71 69 2 50 69 56 6 47 10 85 18 40 17 25 100 12 83 38 12 82 25 41 87 78 97 80 98 59 83 47 64 40 27 87 56 9 80 5 3 85 74 52 66 70 88 41 
84 74 55 0 87 24 68 30 0 50 30 59 68 19 45 33 25 3 40 85 4 59 1 35 54 77 71 2 85 23 95 72 89 30 49 81 45 21 62 82 69 99 29 100 14 37 37 96 64 87 84 37 37 52 38 25 86 29 58 67 6 5 81 20 1 74 86 89 40 77 4 61 63 95 87 60 46 46 88 40 18 2 47 61 11 7 25 97 27 88 11 25 13 15 13 85 54 57 46 90 29 
7 49 24 87 0 40 34 32 21 10 87 85 73 15 4 94 10 8 23 50 44 91 84 62 26 18 5 10 5 53 1 75 85 70 71 49 65 73 100 88 59 94 33 17 26 85 80 95 27 56 81 29 67 11 56 4 13 81 79 52 16 62 24 83 85 63 31 82 47 69 16 89 98 81 57 49 54 73 75 41 14 64 100 64 67 86 71 71 7 54 72 84 39 38 22 65 37 59 87 6 76 
70 69 10 24 40 0 44 74 25 83 12 57 45 89 78 68 37 51 99 72 47 89 100 36 25 76 21 27 65 90 74 9 33 5 63 23 33 13 69 11 0 6 8 73 59 65 72 69 64 56 74 90 44 7 70 59 57 49 52 49 51 54 13 91 1 50 6 26 86 14 42 32 76 50 56 98 28 27 55 10 79 63 11 79 5 87 41 30 47 57 57 76 16 2 34 69 2 38 64 81 92 
54 65 19 68 34 44 0 25 99 6 32 20 57 86 34 21 33 94 92 61 77 5 17 5 56 9 93 97 50 58 18 50 86 99 53 12 36 23 70 46 73 98 28 36 7 10 19 54 34 45 60 14 27 21 37 2 78 66 9 74 5 39 63 99 21 90 33 65 26 79 14 19 7 83 47 39 97 44 93 39 11 65 42 13 84 8 75 20 77 16 22 79 79 55 87 67 80 72 86 80 81 
69 41 87 30 32 74 25 0 75 95 77 90 23 21 75 52 53 8 77 42 43 94 17 43 11 10 45 18 80 12 59 26 50 25 94 73 13 49 76 69 25 30 40 51 8 100 78 9 45 94 82 89 82 25 5 68 40 86 97 34 31 55 79 66 50 28 56 34 39 11 60 19 97 11 61 77 53 48 59 53 42 12 16 2 29 21 80 45 33 65 73 62 37 57 68 70 25 83 46 90 3 
29 45 14 0 21 25 99 75 0 39 1 87 62 99 13 13 21 12 17 80 50 80 91 5 7 54 58 34 100 25 75 34 81 90 44 99 66 36 43 72 84 1 11 77 76 72 14 35 8 52 2 92 20 7 15 59 31 33 26 69 40 48 7 9 40 80 57 67 53 58 53 33 51 38 72 28 41 76 75 66 33 48 3 34 100 71 60 90 22 68 97 55 32 15 53 87 3 54 36 67 91 
76 90 28 50 10 83 6 95 39 0 47 76 23 51 2 61 75 13 90 73 97 79 77 20 12 51 86 66 15 22 78 2 77 36 3 46 55 64 92 46 21 79 72 7 41 32 11 18 80 66 93 19 14 14 9 29 26 65 16 62 1 45 87 3 71 2 3 21 58 55 37 80 64 37 45 56 7 92 41 18 67 41 81 88 15 18 74 91 72 11 97 72 74 58 64 28 30 21 80 32 67 
30 69 39 30 87 12 32 77 1 47 0 58 90 97 0 17 42 74 7 78 44 84 30 50 58 51 95 36 92 61 45 89 72 95 85 84 4 12 13 95 39 32 15 41 82 14 13 39 24 69 58 9 65 92 15 56 35 59 82 27 35 32 14 19 99 12 52 0 34 9 46 69 47 54 80 29 16 81 67 64 82 53 73 6 63 1 32 49 29 91 71 27 65 84 75 54 48 95 83 55 34 
89 25 2 59 85 57 20 90 87 76 58 0 74 54 89 73 99 99 0 79 71 46 91 19 43 86 82 88 82 62 11 93 74 67 31 94 85 28 28 35 87 63 62 20 1 40 53 35 99 84 58 50 91 58 30 82 26 84 86 66 37 78 28 56 8 100 57 84 3 51 82 58 36 100 71 88 8 23 32 10 28 90 95 83 2 1 71 20 35 14 32 35 38 52 78 95 79 6 73 6 87 
11 48 43 68 73 45 57 23 62 23 90 74 0 50 31 42 64 4 61 40 54 13 95 9 22 78 45 7 69 27 82 16 46 52 36 68 6 69 28 30 37 54 72 5 52 33 72 84 67 76 71 28 2 49 89 31 15 71 61 28 85 92 59 81 77 28 84 91 5 79 77 5 16 78 53 79 13 90 9 9 93 39 30 37 57 49 75 66 7 80 80 48 22 50 65 6 4 89 86 96 10 
93 6 33 19 15 89 86 21 99 51 97 54 50 0 16 50 21 93 66 61 24 64 88 38 11 59 23 25 51 79 74 14 14 86 76 52 73 77 93 43 46 88 17 49 0 11 31 63 60 26 68 27 72 4 81 3 42 93 75 74 79 85 34 0 78 22 85 87 13 19 78 53 95 8 48 91 78 83 42 97 18 29 25 43 75 60 18 54 3 40 69 48 48 17 96 21 48 65 24 35 57 
14 44 24 45 4 78 34 75 13 2 0 89 31 16 0 86 21 54 29 8 29 44 83 35 21 95 99 76 31 71 92 44 38 53 84 3 100 87 49 53 19 67 44 1 17 62 72 0 56 62 67 59 18 21 70 20 16 65 0 68 15 6 89 1 2 67 42 93 75 66 36 14 50 99 51 77 38 41 61 21 4 6 46 100 41 87 24 3 90 26 75 94 32 44 4 85 29 49 17 34 61 
77 4 47 33 94 68 21 52 13 61 17 73 42 50 86 0 93 68 94 72 18 19 3 36 91 42 64 82 0 91 84 0 31 36 31 67 63 58 0 31 54 47 48 12 30 80 42 18 8 82 22 100 95 71 82 51 46 42 83 83 58 6 34 39 36 43 7 83 87 98 83 15 72 40 11 47 73 31 58 88 94 28 61 2 27 9 50 42 38 13 22 99 83 28 72 89 3 62 99 96 53 
6 77 86 25 10 37 33 53 21 75 42 99 64 21 21 93 0 3 16 71 61 53 19 46 73 61 62 35 27 31 80 91 34 87 47 24 86 62 76 87 77 22 64 94 75 4 9 25 75 27 88 45 91 60 88 96 40 69 80 81 53 86 45 63 11 67 57 65 42 74 77 23 90 30 32 12 22 84 68 81 71 79 34 12 47 39 2 59 5 23 83 2 25 62 83 83 96 59 78 39 72 
